DATE,RS_FILENAME,COMPRESSED_SIZE,NUMBER_OF_OBJECTS,UNCOMPRESSED_SIZE,RS_SHA1_HASH,RC_FILENAME,RC_SHA256_HASH
2009-05,RS_2009-05.zst,30255643,355193,501995231,78f97fded48f765c1d800f113a85331954f740705414b2b823e9f46c1ecf7715,RC_2009-05.bz2,93cb4cfb0005749dcb60b26d6c9d8412517e3dc1c85d9b85c7db99a9edfa9215
2009-06,RS_2009-06.zst,33388284,383969,546516739,23985e570bb8fb46e5742ef8d37ec7c98bd4f90ce3496a3008fa3215bd3ea908,RC_2009-06.bz2,47c90f36e17b01722c0c76ac3370660392e7ee07fede3d9e8824d5172f655a17
2009-07,RS_2009-07.zst,38805476,427135,610634988,34fdb6aad246666c283c6fab156c087de37d82c553b25cbe3b8660c8dbe30003,RC_2009-07.bz2,8632f3336ef9c7677d414c6c394916dd096de79546391f5ea3fd631280bd3880
2009-08,RS_2009-08.zst,40840539,435860,628914540,dc2c60647cd9880cb0e2bd6049b6655884752457e6e5063f493d3a46da931bfc,RC_2009-08.bz2,6b88c0b8c1b126d6a9713e05ef923f5db3380d4777e4d6693c9f89524e27a646
2009-09,RS_2009-09.zst,42159627,443037,642899843,c97cf5831d45841afb444a94fc0415da807eddfa3582b2852fbea6bb243d4914,RC_2009-09.bz2,5bf07c7b2a18af52557ae0162a3ddc2521566dafb9c38886885479bd8112a820
2009-10,RS_2009-10.zst,44584880,461702,671796167,d91a30a8de84b71a3a334f39f927505d5589ab1a0cc30291f6f95185282ca471,RC_2009-10.bz2,fed1da35fe5f3d254bc66fbcb1703d39f30841c91a5238333d13bbc850c2d6ce
2009-11,RS_2009-11.zst,43387269,452320,657706662,dbd2303c81fb5ffab09e5dcae9fa972e31f5df9a63485f2e638b0d71257e05ba,RC_2009-11.bz2,ecc8780660a24eaf4e4fbbda4847ee56fdbb55f7b43a93298bc890f6462e6f88
2009-12,RS_2009-12.zst,47616851,492225,717874083,c83a057999f50c4c90f9841ab076811b4298598129ac5a4fc73a1be1aedfb77e,RC_2009-12.bz2,c3fc95511525c603bf9bc8b385df1fd6dd019dd33a283a9a17935ab672c9e33e
2010-01,RS_2010-01.zst,53564091,549007,801049880,1b9ab950e88b5f1178de3973fd5985e4da2e89930ca3b8be1da509fbf28e935c,RC_2010-01.bz2,71ab1ecf2b867d71a6833a6a58124afccce765c10d5304089fac5596b848103b
2010-02,RS_2010-02.zst,49946623,506868,740015542,da3b3d01d646a0faf76c37541000b99132fbd22e35c8ef0a2a3c45cd4b43e2a5,RC_2010-02.bz2,020ca842876100667f666d349922add1955c48792a61ba9b54aff5fbb2cb1c85
